Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,07:30,59831,7,30
아시아나항공,07:30,151695,7,30
에어부산,08:30,63560,8,30
아시아나항공,08:30,151695,8,30
에어부산,09:30,63560,9,30
아시아나항공,09:30,151695,9,30
에어부산,10:30,63560,10,30
아시아나항공,10:30,151695,10,30
에어부산,11:30,63560,11,30
아시아나항공,11:30,151695,11,30
에어부산,12:30,67458,12,30
아시아나항공,12:30,151695,12,30
에어부산,14:30,86272,14,30
아시아나항공,14:30,151695,14,30
에어부산,15:30,86272,15,30
아시아나항공,15:30,151695,15,30
제주항공,16:05,136102,16,5
에어부산,16:30,86272,16,30
아시아나항공,16:30,151695,16,30
에어부산,17:30,86272,17,30
아시아나항공,17:30,151695,17,30
에어부산,18:30,86272,18,30
아시아나항공,18:30,151695,18,30
에어부산,19:30,86272,19,30
아시아나항공,19:30,151695,19,30
제주항공,19:50,80000,19,50
에어부산,20:30,86272,20,30
아시아나항공,20:30,151695,20,30
에어부산,21:30,86272,21,30
아시아나항공,21:30,151695,21,30
