Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,08:30,37119,8,30
아시아나항공,08:30,92034,8,30
에어부산,08:40,37628,8,40
아시아나항공,08:40,92034,8,40
제주항공,08:45,76611,8,45
대한항공,09:00,85255,9,0
에어부산,09:10,72204,9,10
아시아나항공,09:10,92034,9,10
에어부산,09:15,72204,9,15
이스타항공,10:05,40000,10,5
제주항공,10:45,41865,10,45
대한항공,12:00,85255,12,0
대한항공,12:50,344068,12,50
제주항공,12:55,60339,12,55
에어부산,13:25,72204,13,25
에어부산,13:30,72204,13,30
에어부산,14:55,72204,14,55
제주항공,15:30,76611,15,30
에어부산,16:45,72204,16,45
제주항공,18:30,76611,18,30
에어부산,18:35,70000,18,35
아시아나항공,18:35,92034,18,35
에어부산,19:35,73560,19,35
대한항공,20:00,85255,20,0
제주항공,20:05,76611,20,5
대한항공,21:05,85255,21,5
