Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,06:50,51526,6,50
에어부산,07:30,69492,7,30
에어부산,12:00,72712,12,0
제주항공,12:20,76611,12,20
에어부산,13:20,57119,13,20
대한항공,13:50,83729,13,50
제주항공,14:30,42204,14,30
에어부산,14:40,42543,14,40
아시아나항공,14:40,89662,14,40
에어부산,15:00,38814,15,0
아시아나항공,15:00,89662,15,0
대한항공,15:05,83729,15,5
제주항공,15:30,39153,15,30
대한항공,16:20,83729,16,20
제주항공,16:55,30678,16,55
제주항공,17:05,30678,17,5
에어부산,17:35,72712,17,35
에어부산,17:55,31187,17,55
아시아나항공,17:55,89662,17,55
대한항공,19:10,83729,19,10
제주항공,19:30,32882,19,30
