Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,114916,6,5
이스타항공,06:10,96102,6,10
제주항공,06:15,98984,6,15
이스타항공,06:15,109831,6,15
티웨이항공,06:20,108306,6,20
아시아나항공,06:25,104238,6,25
제주항공,06:25,116780,6,25
아시아나항공,06:40,114916,6,40
이스타항공,06:50,116950,6,50
에어부산,06:55,110509,6,55
아시아나항공,12:20,126611,12,20
제주항공,12:40,116780,12,40
티웨이항공,12:50,116780,12,50
이스타항공,12:55,116950,12,55
대한항공,13:10,120000,13,10
이스타항공,13:15,109831,13,15
제주항공,13:15,116780,13,15
티웨이항공,13:20,108306,13,20
대한항공,13:20,120000,13,20
제주항공,13:30,104746,13,30
대한항공,13:40,120000,13,40
대한항공,13:50,120000,13,50
아시아나항공,14:00,104238,14,0
아시아나항공,14:05,99492,14,5
아시아나항공,14:25,99492,14,25
이스타항공,14:35,102543,14,35
티웨이항공,14:35,103051,14,35
제주항공,14:40,98984,14,40
에어부산,14:55,95255,14,55
아시아나항공,14:55,91187,14,55
아시아나항공,15:05,91187,15,5
티웨이항공,15:15,92373,15,15
대한항공,15:20,120000,15,20
제주항공,15:25,98984,15,25
이스타항공,15:40,89492,15,40
아시아나항공,15:45,91187,15,45
제주항공,15:45,98984,15,45
이스타항공,15:55,89492,15,55
아시아나항공,15:55,99492,15,55
대한항공,16:00,120000,16,0
제주항공,16:05,98984,16,5
대한항공,16:25,120000,16,25
이스타항공,16:35,96102,16,35
대한항공,16:40,120000,16,40
제주항공,16:55,104746,16,55
티웨이항공,17:25,103051,17,25
티웨이항공,17:50,108306,17,50
아시아나항공,17:50,126611,17,50
에어부산,18:10,92034,18,10
이스타항공,18:10,96102,18,10
티웨이항공,18:10,97628,18,10
제주항공,18:15,98984,18,15
에어부산,18:20,95255,18,20
대한항공,18:20,120000,18,20
티웨이항공,18:25,97628,18,25
아시아나항공,18:25,126611,18,25
이스타항공,18:35,96102,18,35
아시아나항공,18:45,104238,18,45
티웨이항공,18:50,103051,18,50
대한항공,18:50,120000,18,50
아시아나항공,18:55,99492,18,55
제주항공,19:05,104746,19,5
이스타항공,19:25,109831,19,25
제주항공,19:35,116780,19,35
제주항공,20:35,116780,20,35
