Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,93729,6,5
이스타항공,06:10,70339,6,10
제주항공,06:15,63560,6,15
이스타항공,06:15,70339,6,15
대한항공,06:20,97289,6,20
제주항공,06:25,63560,6,25
아시아나항공,06:25,91017,6,25
티웨이항공,06:40,65763,6,40
아시아나항공,06:40,93729,6,40
이스타항공,06:50,75933,6,50
에어부산,06:55,68814,6,55
티웨이항공,07:00,73390,7,0
제주항공,07:00,78645,7,0
아시아나항공,08:20,120509,8,20
아시아나항공,10:40,120509,10,40
대한항공,11:05,138645,11,5
에어부산,11:25,79662,11,25
제주항공,11:35,82543,11,35
티웨이항공,11:45,80848,11,45
이스타항공,11:50,87628,11,50
아시아나항공,11:50,120509,11,50
제주항공,12:15,69153,12,15
대한항공,12:20,97289,12,20
아시아나항공,12:20,120509,12,20
제주항공,12:40,63560,12,40
티웨이항공,12:50,62543,12,50
이스타항공,12:55,70339,12,55
대한항공,13:10,97289,13,10
제주항공,13:15,56272,13,15
이스타항공,13:15,64916,13,15
티웨이항공,13:20,52034,13,20
대한항공,13:20,97289,13,20
제주항공,13:30,54916,13,30
대한항공,13:50,97289,13,50
아시아나항공,14:05,77967,14,5
아시아나항공,14:25,79323,14,25
티웨이항공,14:35,47797,14,35
이스타항공,14:35,56611,14,35
제주항공,14:40,46441,14,40
에어부산,14:55,47119,14,55
티웨이항공,14:55,44577,14,55
아시아나항공,14:55,116272,14,55
아시아나항공,15:05,40678,15,5
아시아나항공,15:15,40678,15,15
티웨이항공,15:15,41356,15,15
대한항공,15:20,97289,15,20
제주항공,15:25,42204,15,25
이스타항공,15:40,48984,15,40
아시아나항공,15:45,40678,15,45
제주항공,15:45,42204,15,45
아시아나항공,15:55,40678,15,55
이스타항공,15:55,48984,15,55
대한항공,16:00,97289,16,0
제주항공,16:05,46441,16,5
이스타항공,16:35,48984,16,35
대한항공,16:40,97289,16,40
제주항공,16:55,42204,16,55
티웨이항공,17:25,38136,17,25
아시아나항공,17:50,32373,17,50
에어부산,18:10,29153,18,10
티웨이항공,18:10,33899,18,10
이스타항공,18:10,42373,18,10
제주항공,18:15,38136,18,15
대한항공,18:20,97289,18,20
티웨이항공,18:25,33899,18,25
아시아나항공,18:25,38475,18,25
이스타항공,18:35,42373,18,35
아시아나항공,18:45,40678,18,45
티웨이항공,18:50,30678,18,50
대한항공,18:50,97289,18,50
아시아나항공,18:55,32373,18,55
제주항공,19:05,31865,19,5
대한항공,19:10,97289,19,10
아시아나항공,19:20,40678,19,20
이스타항공,19:25,39153,19,25
제주항공,19:35,31865,19,35
이스타항공,19:45,39153,19,45
대한항공,20:00,97289,20,0
대한항공,20:30,97289,20,30
제주항공,20:35,33899,20,35
아시아나항공,20:50,40678,20,50
아시아나항공,21:20,40678,21,20
